Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
GG_BathMirrorBlockVariant,blocks,Variant,New,GG's Bathroom Mirror Block Selector,,,,,
GG_BathroomMirrorSelectorDesc,blocks,Block,New,Block slector used for selecting on of 9 different mirror options for bathroom decor,,,,,
GG_BathroomMirror01,blocks,Block,New,GG's Bathroom Mirror 01,,,,,
GG_BathroomMirror02,blocks,Block,New,GG's Bathroom Mirror 02,,,,,
GG_BathroomMirror03,blocks,Block,New,GG's Bathroom Mirror 03,,,,,
GG_BathroomMirror04,blocks,Block,New,GG's Bathroom Mirror 04,,,,,
GG_BathroomMirror05,blocks,Block,New,GG's Bathroom Mirror 05,,,,,
GG_BathroomMirror06,blocks,Block,New,GG's Bathroom Mirror 06,,,,,
GG_BathroomMirror07,blocks,Block,New,GG's Bathroom Mirror 07,,,,,
GG_BathroomMirror08,blocks,Block,New,GG's Bathroom Mirror 08,,,,,
GG_BathroomMirror09,blocks,Block,New,GG's Bathroom Mirror 09,,,,,
GG_BathroomMirrorBlockDesc,blocks,Block,New,Does what a mirror is suppose to do! What more can you ask for... nothing that's the answer.,,,,,

GG_BathMiscBlockVariant,blocks,Variant,New,GG's Bathroom Misc Block Selector,,,,,
GG_BathroomMiscSelectorDesc,blocks,Block,New,Block slector used for selecting on of 9 different misc decor options for bathroom decor,,,,,
GG_Bath_Misc01,blocks,Block,New,GG's Toiletpaper Roll 01,,,,,
GG_Bath_Misc02,blocks,Block,New,GG's Soap 01,,,,,
GG_Bath_Misc03,blocks,Block,New,GG's Soap 02,,,,,
GG_Bath_Misc04,blocks,Block,New,GG's Soap 03,,,,,
GG_Bath_Misc05,blocks,Block,New,GG's Toiletpaper Roll 02,,,,,
GG_Towelholder01,blocks,Block,New,GG's Towel Holder 01,,,,,
GG_Towelholder02,blocks,Block,New,GG's Towel Holder 02,,,,,
GG_Towelholder03,blocks,Block,New,GG's Towel Holder 03,,,,,
GG_Towelholder04,blocks,Block,New,GG's Towel Holder 04,,,,,
GG_BathroomMiscBlockDesc,blocks,Block,New,Fancy stuff that looks fancy!,,,,,

GG_BathtubBlockVariant,blocks,Variant,New,GG's Bathroom Bathtub Block Selector,,,,,
GG_BathroomBathtubSelectorDesc,blocks,Block,New,Block selector for selecting one of 7 different bathtub options!,,,,,
GG_Bathtub01,blocks,Block,New,GG's Bathtub 01,,,,,
GG_Bathtub02,blocks,Block,New,GG's Bathtub 02,,,,,
GG_Bathtub03,blocks,Block,New,GG's Bathtub 03,,,,,
GG_Bathtub04,blocks,Block,New,GG's Bathtub 04,,,,,
GG_Bathtub05,blocks,Block,New,GG's Bathtub 05,,,,,
GG_Bathtub06,blocks,Block,New,GG's Bathtub 06,,,,,
GG_Bathtub07,blocks,Block,New,GG's Bathtub 07,,,,,
GG_Bathtub08,blocks,Block,New,GG's Bathtub 08,,,,,
GG_BathroomBathtubBlockDesc,blocks,Block,New,Gotta stay clean in the apocalypse!!!,,,,,

GG_BathShowerBlockVariant,blocks,Variant,New,GG's Bathroom Shower Block Selector,,,,,
GG_BathroomBathtubSelectorDesc,blocks,Variant,New,Block selector for a variety of showerhead and handle options!,,,,,
GG_Shower01,blocks,Block,New,GG's Shower 01,,,,,
GG_Showerhandle01,blocks,Block,New,GG's Shower Handle 01,,,,,
GG_Showerhandle02,blocks,Block,New,GG's Shower Handle 02,,,,,
GG_Showerhandle03,blocks,Block,New,GG's Shower Handle 03,,,,,
GG_Showerhead01,blocks,Block,New,GG's Shower Head 01,,,,,
GG_Showerhead02,blocks,Block,New,GG's Shower Head 02,,,,,
GG_Showerhead03,blocks,Block,New,GG's Shower Head 03,,,,,
GG_Showerhead04,blocks,Block,New,GG's Shower Head 04,,,,,
GG_Showerhead05,blocks,Block,New,GG's Shower Head 05,,,,,
GG_Showerhead06,blocks,Block,New,GG's Shower Head 06,,,,,
GG_Showerhead07,blocks,Block,New,GG's Shower Head 07,,,,,

GG_BathToiletBlockVariant,blocks,Variant,New,GG's Bathroom Toilet Block Selector,,,,,
GG_BathroomToiletSelectorDesc,blocks,Block,New,Block selector for 11 different toilet designs!!!,,,,,
GG_Toilet01,blocks,Block,New,GG's Toilet 01,,,,,
GG_Toilet02,blocks,Block,New,GG's Toilet 02,,,,,
GG_Toilet03,blocks,Block,New,GG's Toilet 03,,,,,
GG_Toilet04,blocks,Block,New,GG's Toilet 04,,,,,
GG_Toilet05,blocks,Block,New,GG's Toilet 05,,,,,
GG_Toilet06,blocks,Block,New,GG's Toilet 06,,,,,
GG_Toilet07,blocks,Block,New,GG's Toilet 07,,,,,
GG_Toilet08,blocks,Block,New,GG's Toilet 08,,,,,
GG_Toilet09,blocks,Block,New,GG's Toilet 09,,,,,
GG_Toilet10,blocks,Block,New,GG's Toilet 10,,,,,
GG_Toilet11,blocks,Block,New,GG's Toilet 11,,,,,
GG_BathroomToiletBlockDesc,blocks,Block,New,What do you think a toilets use is?,,,,,

GG_BathSinkBlockVariant,blocks,Variant,New,GG's Bathroom Toilet Block Selector,,,,,
GG_BathroomSinkSelectorDesc,blocks,Block,New,Block selector for 8 different sink designs!!!,,,,,
GG_Sink01,blocks,Block,New,GG's Sink 01,,,,,
GG_Sink02,blocks,Block,New,GG's Sink 02,,,,,
GG_Sink03,blocks,Block,New,GG's Sink 03,,,,,
GG_Sink04,blocks,Block,New,GG's Sink 04,,,,,
GG_Sink05,blocks,Block,New,GG's Sink 05,,,,,
GG_Sink06,blocks,Block,New,GG's Sink 06,,,,,
GG_Sink07,blocks,Block,New,GG's Sink 07,,,,,
GG_Sink08,blocks,Block,New,GG's Sink 08,,,,,
GG_BathroomSinkBlockDesc,blocks,Block,New,Remember what your momma told you bout washing yo hands?,,,,,

GG_Bedroom_Bed_Block_Variant,blocks,Variant,New,GG's Bedroom Bed Selector,,,,,
GG_Bedroom_Dresser_Block_Variant,blocks,Variant,New,GG's Dresser Selector,,,,,
GG_Bedroom_Mirror_Block_Variant,blocks,Variant,New,GG's Bedroom Mirror Selector,,,,,
GG_Bedroom_Small_WallDecor_Block_Variant,blocks,Variant,New,GG's Bedroom WallDecor,,,,,
GG_Bedroom_Stand_Block_Variant,blocks,Variant,New,GG's Bedroom Stand,,,,,
GG_Beds_SelectorDesc,blocks,Block,New,FANCY Beds!!!,,,,,
GG_Dressers_SelectorDesc,blocks,Block,New,FANCY Dressers!!!,,,,,
GG_Mirrors_SelectorDesc,blocks,Block,New,FANCY Mirrors!!!,,,,,
GG_Small_WallDecors_SelectorDesc,blocks,Block,New,FANCY wall decor!!!,,,,,
GG_Stands_SelectorDesc,blocks,Block,New,FANCY bed side stands!!!,,,,,

GG_Bedroom_Bed01,blocks,Block,New,Bed 01,,,,,
GG_Bedroom_Bed02,blocks,Block,New,Bed 02,,,,,
GG_Bedroom_Bed03,blocks,Block,New,Bed 03,,,,,
GG_Bedroom_Bed04,blocks,Block,New,Bed 04,,,,,
GG_Bedroom_Bed05,blocks,Block,New,Bed 05,,,,,
GG_Bedroom_Bed06,blocks,Block,New,Bed 06,,,,,
GG_Bedroom_Bed07,blocks,Block,New,Bed 07,,,,,
GG_Bedroom_Bed08,blocks,Block,New,Bed 08,,,,,
GG_Bedroom_Bed09,blocks,Block,New,Bed 09,,,,,
GG_Bedroom_Bed10,blocks,Block,New,Bed 10,,,,,
GG_Bedroom_Bed11,blocks,Block,New,Bed 11,,,,,
GG_Bedroom_Bed12,blocks,Block,New,Bed 12,,,,,
GG_Bedroom_Bed13,blocks,Block,New,Bed 13,,,,,
GG_Bedroom_Bed14,blocks,Block,New,Bed 14,,,,,
GG_Bedroom_Bed15,blocks,Block,New,Bed 15,,,,,
GG_Bedroom_Bed16,blocks,Block,New,Bed 16,,,,,

GG_Bedroom_Dresser01,blocks,Block,New,Bedroom Dresser 01,,,,,
GG_Bedroom_Dresser02,blocks,Block,New,Bedroom Dresser 02,,,,,
GG_Bedroom_Dresser03,blocks,Block,New,Bedroom Dresser 03,,,,,
GG_Bedroom_Dresser04,blocks,Block,New,Bedroom Dresser 04,,,,,
GG_Bedroom_Dresser05,blocks,Block,New,Bedroom Dresser 05,,,,,
GG_Bedroom_Dresser06,blocks,Block,New,Bedroom Dresser 06,,,,,
GG_Bedroom_Dresser07,blocks,Block,New,Bedroom Dresser 07,,,,,
GG_Bedroom_Dresser08,blocks,Block,New,Bedroom Dresser 08,,,,,
GG_Bedroom_Dresser09,blocks,Block,New,Bedroom Dresser 09,,,,,
GG_Bedroom_Dresser10,blocks,Block,New,Bedroom Dresser 10,,,,,
GG_Bedroom_Dresser11,blocks,Block,New,Bedroom Dresser 11,,,,,
GG_Bedroom_Dresser12,blocks,Block,New,Bedroom Dresser 12,,,,,
GG_Bedroom_Dresser13,blocks,Block,New,Bedroom Dresser 13,,,,,
GG_Bedroom_Dresser14,blocks,Block,New,Bedroom Dresser 14,,,,,
GG_Bedroom_Dresser15,blocks,Block,New,Bedroom Dresser 15,,,,,
GG_Bedroom_Dresser16,blocks,Block,New,Bedroom Dresser 16,,,,,
GG_Bedroom_Dresser17,blocks,Block,New,Bedroom Dresser 17,,,,,
GG_Bedroom_Dresser18,blocks,Block,New,Bedroom Dresser 18,,,,,
GG_Bedroom_Dresser19,blocks,Block,New,Bedroom Dresser 19,,,,,
GG_Bedroom_Dresser20,blocks,Block,New,Bedroom Dresser 20,,,,,

GG_Bedroom_Mirror01,blocks,Block,New,Bedroom Mirror 01,,,,,
GG_Bedroom_Mirror02,blocks,Block,New,Bedroom Mirror 02,,,,,
GG_Bedroom_Mirror03,blocks,Block,New,Bedroom Mirror 03,,,,,
GG_Bedroom_Mirror04,blocks,Block,New,Bedroom Mirror 04,,,,,
GG_Bedroom_Mirror05,blocks,Block,New,Bedroom Mirror 05,,,,,
GG_Bedroom_Mirror06,blocks,Block,New,Bedroom Mirror 06,,,,,
GG_Bedroom_Mirror07,blocks,Block,New,Bedroom Mirror 07,,,,,
GG_Bedroom_Mirror08,blocks,Block,New,Bedroom Mirror 08,,,,,
